Elevation,Area(acres),Volume(acre-feet)
4275.5,2290.63,27574.93
4275.6,2297.19,27804.32
4275.7,2303.76,28034.37
4275.8,2310.32,28265.07
4275.9,2316.88,28496.43
4276,2323.45,28728.45
4276.1,2329.75,28961.11
4276.2,2336.05,29194.4
4276.3,2342.34,29428.32
4276.4,2348.64,29662.87
4276.5,2354.94,29898.05
4276.6,2361.24,30133.86
4276.7,2367.54,30370.29
4276.8,2373.84,30607.36
4276.9,2380.14,30845.06
4277,2386.44,31083.39
4277.1,2392.73,31322.35
4277.2,2399.03,31561.94
4277.3,2405.33,31802.15
4277.4,2411.63,32043.01
4277.5,2417.93,32284.48
4277.6,2424.23,32526.59
4277.7,2430.53,32769.33
4277.8,2436.82,33012.7
4277.9,2443.12,33256.69
4278,2449.42,33501.32
4278.1,2454.19,33746.5
4278.2,2458.97,33992.16
4278.3,2463.74,34238.29
4278.4,2468.51,34484.91
4278.5,2473.29,34732
4278.6,2478.06,34979.56
4278.7,2482.83,35227.61
4278.8,2487.6,35476.13
4278.9,2492.38,35725.13
4279,2497.15,35974.61
4279.1,2501.92,36224.56
4279.2,2506.7,36474.99
4279.3,2511.47,36725.9
4279.4,2516.24,36977.29
4279.5,2521.02,37229.15
4279.6,2525.79,37481.49
4279.7,2530.56,37734.3
4279.8,2535.33,37987.6
4279.9,2540.11,38241.37
4280,2544.88,38495.62
4280.1,2551.42,38750.44
4280.2,2557.96,39005.91
4280.3,2564.5,39262.03
4280.4,2571.04,39518.8
4280.5,2577.58,39776.24
4280.6,2584.12,40034.32
4280.7,2590.66,40293.06
4280.8,2597.2,40552.46
4280.9,2603.74,40812.5
4281,2610.28,41073.2
4281.1,2616.83,41334.56
4281.2,2623.37,41596.57
4281.3,2629.91,41859.23
4281.4,2636.45,42122.55
4281.5,2642.99,42386.52
4281.6,2649.53,42651.15
4281.7,2656.07,42916.43
4281.8,2662.61,43182.36
4281.9,2669.15,43448.95
4282,2675.69,43716.19
4282.1,2685.26,43984.24
4282.2,2694.83,44253.24
4282.3,2704.4,44523.2
4282.4,2713.97,44794.12
4282.5,2723.54,45066
4282.6,2733.1,45338.83
4282.7,2742.67,45612.61
4282.8,2752.24,45887.36
4282.9,2761.81,46163.07
4283,2771.38,46439.73
4283.1,2780.95,46717.34
4283.2,2790.52,46995.91
4283.3,2800.09,47275.45
4283.4,2809.66,47555.93
4283.5,2819.23,47837.38
4283.6,2828.8,48119.77
4283.7,2838.36,48403.14
4283.8,2847.93,48687.45
4283.9,2857.5,48972.73
4284,2867.07,49258.95
4284.1,2883.3,49546.48
4284.2,2899.53,49835.61
4284.3,2915.76,50126.38
4284.4,2931.99,50418.77
4284.5,2948.22,50712.77
4284.6,2964.45,51008.41
4284.7,2980.68,51305.66
4284.8,2996.91,51604.55
4284.9,3013.14,51905.05
4285,3029.37,52207.17
4285.1,3045.6,52510.92
4285.2,3061.83,52816.3
4285.3,3078.06,53123.29
4285.4,3094.29,53431.91
4285.5,3110.52,53742.14
4285.6,3126.75,54054.01
4285.7,3142.98,54367.5
4285.8,3159.21,54682.61
4285.9,3175.44,54999.34
4286,3191.67,55317.69
4286.1,3205.46,55637.55
4286.2,3219.25,55958.79
4286.3,3233.05,56281.4
4286.4,3246.84,56605.4
4286.5,3260.63,56930.77
4286.6,3274.42,57257.52
4286.7,3288.22,57585.66
4286.8,3302.01,57915.17
4286.9,3315.8,58246.06
4287,3329.6,58578.33
4287.1,3343.39,58911.98
4287.2,3357.18,59247
4287.3,3370.97,59583.41
4287.4,3384.77,59921.2
4287.5,3398.56,60260.36
4287.6,3412.35,60600.91
4287.7,3426.14,60942.84
4287.8,3439.94,61286.14
4287.9,3453.73,61630.82
4288,3467.52,61976.89
4288.1,3483.45,62324.43
4288.2,3499.38,62673.57
4288.3,3515.3,63024.31
4288.4,3531.23,63376.64
4288.5,3547.15,63730.55
4288.6,3563.08,64086.07
4288.7,3579.01,64443.17
4288.8,3594.93,64801.86
4288.9,3610.86,65162.16
4289,3626.79,65524.04
4289.1,3642.71,65887.52
4289.2,3658.64,66252.58
4289.3,3674.56,66619.24
4289.4,3690.49,66987.49
4289.5,3706.42,67357.34
4289.6,3722.34,67728.78
4289.7,3738.27,68101.8
4289.8,3754.2,68476.43
4289.9,3770.12,68852.65
4290,3786.05,69230.45
4290.1,3802.83,69609.9
4290.2,3819.61,69991.02
4290.3,3836.39,70373.82
4290.4,3853.17,70758.3
4290.5,3869.96,71144.45
4290.6,3886.74,71532.29
4290.7,3903.52,71921.8
4290.8,3920.3,72312.99
4290.9,3937.08,72705.86
4291,3953.86,73100.41
4291.1,3970.64,73496.63
