Date,NDWI,MNDWI,DSWE,AWEIsh
5/17/2012,6764.238848,6969.013306,2528.085485,6911.427251
5/26/2012,6727.328945,7459.495008,6650.299172,7393.90463
6/18/2012,6953.894293,7163.116818,5386.018501,7078.182812
6/27/2012,5795.726729,5988.940484,5781.136617,5906.452176
8/5/2012,4614.425755,5083.784591,4408.540332,4881.232187
8/30/2012,3253.259639,3799.549771,3507.367963,3591.660451
9/6/2012,3496.94031,3921.830537,3719.691154,3752.629362
9/15/2012,3182.998788,3677.705698,3241.889651,3361.758658
9/22/2012,3553.636417,3936.281865,3699.532759,3795.095913
10/1/2012,3250.590859,3531.849849,3327.98784,3448.694519
10/8/2012,3673.923523,3778.646535,3621.639263,3751.743023
10/17/2012,3236.135636,3504.278126,3253.954161,3522.06489
10/24/2012,3490.493779,3632.124815,3357.572965,3598.99557
11/2/2012,3377.323162,3655.024371,3106.199061,3588.989463
11/25/2012,3844.012938,3782.648536,3478.638659,3901.376655
12/11/2012,4062.128779,3705.49818,3615.431685,4073.690868
12/20/2012,3897.154453,3580.989192,3493.956624,3915.386725
1/12/2013,4779.178412,4404.759283,4289.075871,4782.73604
1/21/2013,4460.78875,4528.160569,3973.25911,4546.612856
2/13/2013,5065.998008,4972.616318,4878.788047,5080.672797
2/22/2013,4766.064193,4693.360173,4486.714712,4783.406992
3/1/2013,5364.823672,5416.185638,5258.544422,5420.408925
3/26/2013,5110.693353,5254.991373,4584.410184,5211.635198
4/2/2013,5614.735963,5712.565186,5438.697915,5684.995189
4/11/2013,5253.212974,5335.700763,4812.37378,5326.584905
4/18/2013,5595.17204,5612.069467,4739.827493,5728.574986
4/19/2013,8193.430507,8365.07637,7151.907076,8285.034237
4/27/2013,5130.927843,5293.457689,4886.709686,5236.316449
5/12/2013,8172.531512,8409.544825,4785.871538,8299.48695
5/13/2013,5152.050302,5335.924331,4696.184526,5268.555681
5/20/2013,5502.903143,5722.573858,1317.875456,5633.860667
5/21/2013,8090.044765,8333.505248,7698.196176,8213.664693
5/28/2013,7598.227234,7873.038227,3342.002864,7725.627842
5/29/2013,4749.613448,4996.632558,3943.400847,4879.015274
5/30/2013,7385.446843,7606.452627,6836.146382,7488.613127
6/5/2013,4706.031724,4894.576123,1885.436542,4800.748893
6/6/2013,6821.36757,7005.687433,6499.812321,6894.517772
6/13/2013,6339.332236,6565.2294,4809.81396,6437.161901
6/14/2013,3984.537072,4158.407224,3317.302961,4084.590427
6/21/2013,3791.098139,4277.578547,1671.28624,4061.686461
6/22/2013,5281.876477,5650.294528,2404.160578,5505.550158
6/30/2013,2711.191523,3105.179389,1702.670504,2993.341675
7/7/2013,2332.98729,2977.775612,1691.942041,2693.179149
7/23/2013,2114.875746,2584.24197,1712.470657,2348.558246
7/31/2013,3532.72258,5624.06778,3729.276441,3966.288183
8/8/2013,2585.119715,3148.753936,2801.619187,2956.207129
8/9/2013,3843.109824,4597.290635,4023.40226,4083.682837
8/16/2013,3993.189171,4638.422146,4311.553668,4272.89431
8/17/2013,2430.821427,2843.930052,2616.032036,2676.285272
8/25/2013,3485.80728,4140.377564,1759.952913,3879.795159
9/1/2013,4221.311356,4437.648101,4310.262339,4296.462357
9/18/2013,3134.305279,4025.449995,3172.521151,3483.381036
9/25/2013,4104.817729,4430.993518,4372.719802,4318.488256
9/26/2013,6134.329862,6528.763256,6139.199673,6298.640477
10/3/2013,6451.38773,6771.337048,6641.68043,6587.238551
10/4/2013,3994.319077,4197.318962,4058.90931,4190.203028
10/11/2013,4555.281482,4650.223316,4531.834034,4683.795363
10/12/2013,6587.459668,6919.860652,6319.13207,6741.542889
10/19/2013,6709.303572,7003.460914,6814.537721,6835.371212
10/20/2013,4160.40775,4309.823649,4080.909034,4344.729731
10/27/2013,4881.012126,4777.626103,4695.10344,5007.747034
11/4/2013,7236.695132,7486.38475,7377.116657,7361.873606
11/12/2013,5112.689986,5201.404996,5047.68253,5194.511697
11/28/2013,5632.078667,4930.377486,4910.5246,5656.314036
11/29/2013,7872.369531,8016.668988,7671.722331,7956.414521
12/6/2013,8530.274654,8592.974993,8534.250415,8564.959914
12/14/2013,6091.878064,5243.875913,5221.028771,6106.997505
12/15/2013,8825.543339,8893.802471,8850.029647,8880.906328
12/22/2013,9007.195463,9071.229879,9079.584139,9044.993426
12/23/2013,5723.018304,4790.52622,4746.025563,5743.696375
12/30/2013,6338.232152,5808.396697,5792.140329,6346.014509
12/31/2013,9205.746192,9290.458402,8898.743881,9267.334699
1/7/2014,9378.727753,9425.19715,9386.402514,9404.519373
1/8/2014,6003.390732,5257.440695,4888.461135,6017.843164
1/15/2014,6416.051578,5615.850832,5550.403723,6457.851966
1/16/2014,9501.904006,9576.832887,8570.88914,9557.489144
1/23/2014,9184.402312,9266.445791,7017.241482,9238.431108
1/24/2014,6320.448235,6397.600791,6315.00561,6386.92833
2/9/2014,6501.433161,5811.512359,5668.958325,6545.234302
3/5/2014,10309.66678,10425.50617,10213.35439,10381.48266
3/12/2014,10477.97883,10556.02015,10482.89195,10529.78412
3/13/2014,6587.480847,6687.534123,6523.867772,6667.968013
3/20/2014,7206.027732,7337.430578,7303.481971,7307.636945
3/21/2014,10571.58352,10654.96119,10269.7425,10626.27927
3/28/2014,10642.73254,10762.79605,10694.00356,10711.43561
3/29/2014,6661.075071,6811.377314,6581.964493,6776.025081
4/6/2014,8950.043435,13552.27534,5596.635349,13558.05672
4/13/2014,10590.70489,10783.25174,10646.05354,10679.64111
4/22/2014,10542.45666,10785.91949,10374.66966,10644.28871
5/8/2014,10181.81705,10580.47088,8068.825471,10510.87845
5/15/2014,10487.09539,10800.81746,1334.176931,10636.95236
5/31/2014,10421.06029,10684.08941,4813.091204,10534.45397
6/9/2014,9850.092385,10022.62898,9762.840213,9938.584079
6/25/2014,8524.942864,8642.116981,8508.288792,8590.756154
7/2/2014,7909.50431,8026.455612,4893.50228,7969.091661
7/18/2014,6568.120309,6821.812156,5515.992838,6680.403235
7/27/2014,6067.852225,6380.242121,6039.155642,6230.82873
8/28/2014,6010.488431,6367.792253,6009.141492,6201.48092
9/20/2014,6279.299647,6576.569738,6423.416638,6427.601166
10/6/2014,6589.241271,6791.349621,6678.780142,6679.067576
10/15/2014,6712.640382,6920.307059,6374.296227,6799.576033
10/22/2014,6793.349908,6978.560393,6914.360207,6867.834418
11/7/2014,6957.659474,7149.095673,7085.306431,7081.059176
11/23/2014,7217.796416,7276.271729,6910.615079,7262.708894
12/25/2014,8463.796951,8502.040046,8465.536973,8497.148201
1/3/2015,8780.855347,8383.087998,7972.157466,8903.586649
1/19/2015,9076.568086,9115.255668,8262.786353,9115.700086
2/4/2015,9390.959069,9468.77812,9508.207507,9445.432374
3/8/2015,10128.68318,10185.15758,9812.016934,10162.25656
3/15/2015,10288.9905,10372.81257,10401.1224,10354.80298
3/24/2015,10333.90295,10444.6283,10208.49901,10423.72834
4/16/2015,10808.59908,11034.2745,10755.47147,10929.99687
4/25/2015,10820.16036,11060.73291,10655.91744,10929.32957
5/11/2015,10748.78953,11025.826,8723.093282,10860.849
5/18/2015,10789.47775,11098.08628,9122.713527,10898.86911
6/3/2015,10827.27572,11115.42936,9373.444891,10937.77914
6/12/2015,10598.26574,10866.85358,10518.76372,10702.54367
6/28/2015,10201.61119,10490.43225,10119.48433,10326.3445
7/21/2015,9334.041174,9747.371571,7744.300674,9577.058315
8/6/2015,7755.198801,7850.582493,5208.161462,7860.365378
8/15/2015,8210.776314,8491.81469,8095.264904,8316.387972
8/22/2015,7654.479793,8015.338911,7681.708036,7748.752235
8/31/2015,6919.864759,7240.03662,6816.630318,7012.581378
9/23/2015,6585.684686,6693.743248,6564.207098,6679.290276
10/25/2015,6720.867575,7298.288367,6928.420191,6989.456384
11/3/2015,6955.659791,7253.819586,6810.366478,7079.726529
11/10/2015,7087.952631,7358.541778,5331.947718,7203.570209
11/19/2015,7397.895062,7850.137062,7665.225093,7753.863205
12/21/2015,9423.641302,9463.218941,9317.160471,9462.996133
1/13/2016,9746.264531,9808.070441,9888.560499,10217.1756
1/22/2016,10316.56115,10373.03573,10438.50861,10373.92494
1/29/2016,10431.06684,10491.54323,10500.13465,10478.20276
2/7/2016,10603.82515,10626.5041,10344.47658,10630.50604
2/14/2016,10625.17031,10708.5475,10844.45231,10687.64766
3/1/2016,10501.55241,10943.78337,8707.523867,10901.98352
3/10/2016,11149.66978,11256.17115,11185.10116,11214.81579
3/17/2016,11288.85501,11408.91886,11531.94068,11354.44545
4/2/2016,11163.01041,11295.96998,11338.99012,11248.16652
4/11/2016,10806.15445,10948.89724,10331.29857,10880.86099
4/27/2016,10138.68972,10391.7133,9545.086191,10260.31001
5/4/2016,10028.63135,10302.33265,7685.24337,10157.36669
5/13/2016,9676.889136,9934.80427,9001.007604,9786.058556
5/20/2016,9384.289509,9718.02238,7335.73708,9567.720391
5/29/2016,9422.086782,9729.361898,8855.759561,9597.736235
6/5/2016,9699.789561,9981.273425,3673.49201,9839.419826
6/14/2016,9801.621022,10093.11077,9809.654063,9926.577112
6/21/2016,9713.352094,10044.64045,6072.787937,9869.657881
7/16/2016,8287.928327,8484.478382,8318.405645,8395.986463
7/23/2016,7766.539327,8051.136549,7714.703216,7907.503887
8/1/2016,7037.927548,7408.349667,6908.092157,7208.019747
8/17/2016,6039.614172,6668.844286,6181.453917,6267.071319
8/24/2016,5841.729962,6472.739307,5977.151432,6064.963021
9/9/2016,5272.758696,6141.230968,5396.685673,5414.836028
9/18/2016,5465.306934,5964.688648,5573.589743,5677.199818
10/4/2016,5568.249552,6027.1652,5489.810047,5787.924554
10/11/2016,5650.515811,6047.842091,5806.226957,5834.171043
10/20/2016,5359.469672,5940.229066,5477.133068,5692.316952
10/27/2016,5445.739745,5804.60102,5634.686221,5600.490692
11/12/2016,5854.180286,6362.677292,6096.160013,6080.969257
12/23/2016,7113.965087,7281.610565,7375.26876,7185.558873
1/8/2017,7628.615416,7627.928178,7664.799184,7635.768045
1/24/2017,7822.175412,7837.006566,7805.914251,7830.268811
1/31/2017,8580.814991,8592.303533,8553.106539,8638.157607
2/16/2017,8890.492586,8998.879315,8954.898737,9011.626571
2/25/2017,9214.443389,9278.051497,8708.241432,9264.771065
3/4/2017,9441.421629,9500.557497,9100.446714,9475.583764
3/13/2017,9407.780931,9464.910281,8788.952376,9447.994028
4/5/2017,9969.697438,9789.146012,9888.645459,10106.46708
4/21/2017,10380.68667,10673.13166,10468.81724,10540.42749
4/30/2017,10731.62767,11139.36997,10663.24448,10935.61252
5/7/2017,11072.37764,11455.18097,9975.838538,11241.71826
6/1/2017,11858.39937,12439.2705,12035.0966,12077.85375
6/17/2017,12035.3424,12660.19536,12234.90233,12296.3532
7/3/2017,11412.90795,11776.94151,11618.56778,11557.69136
7/10/2017,11101.62577,11461.26564,10080.67107,11258.06572
7/26/2017,10274.3628,10546.12541,8478.024577,10416.19386
8/27/2017,9339.744975,9585.549501,9935.763298,9442.001034
9/5/2017,9007.40526,9357.350696,8859.612596,9164.863217
9/12/2017,8788.379465,9005.752663,9269.094128,8876.773679
9/21/2017,8277.790121,8487.071126,7706.415451,8391.37672
10/7/2017,8220.485935,8991.706107,9218.104245,8514.989151
10/14/2017,9014.09106,9430.682239,9821.015107,9247.682249
10/23/2017,9276.273792,9586.853047,9512.685941,9410.473916
10/30/2017,9470.171752,9702.790869,10369.57962,9564.891674
11/24/2017,10166.97465,10296.21471,9758.127934,10240.57191
12/10/2017,10724.77073,10830.98345,8394.856485,10794.84713
12/26/2017,11365.25291,11430.17151,10864.65254,11416.35636
1/11/2018,11670.74872,11743.24233,11425.03587,11725.47761
1/18/2018,11800.26381,11862.12093,11520.31226,11849.08186
1/27/2018,11919.13377,11962.58544,11481.50933,11964.40481
2/3/2018,11968.24147,12061.79313,11641.13297,12025.06911
3/7/2018,12401.29997,12440.98038,11958.32096,12382.40473
3/16/2018,12148.48635,12292.33354,11434.78271,12201.24018
3/23/2018,11384.83368,11455.86024,10248.16677,11355.1459
4/8/2018,11420.02188,11668.10775,10901.01491,11489.12018
4/17/2018,11385.47526,11629.45836,10882.67471,11493.15495
5/3/2018,11094.89608,11338.57295,10451.13011,11214.55861
5/10/2018,10900.65703,11147.76743,8463.946948,11014.68948
5/19/2018,10706.90846,10972.95567,10253.62253,10832.36511
6/4/2018,10035.78104,10290.54606,9801.203713,10149.63236
6/11/2018,9555.312459,9749.915699,7780.5492,9634.15161
6/20/2018,8870.221886,9132.828639,8864.925463,9000.873379
6/27/2018,8321.934989,8614.289119,8476.421439,8440.743645
7/22/2018,6228.079548,7097.329356,7122.51259,6614.523333
7/29/2018,5569.618469,6683.111457,6694.942175,5707.368163
8/7/2018,5188.425053,6096.54297,6118.435814,5773.800706
8/14/2018,4968.752595,5953.848311,6119.670156,5606.681562
8/23/2018,4243.076899,5023.17401,4061.190288,4629.534191
8/30/2018,4062.530982,5479.138689,5262.475685,4425.40879
9/8/2018,3692.964561,5434.654984,5474.15338,4868.93472
9/15/2018,3390.174085,4502.551978,4943.003338,3806.166721
9/24/2018,3071.303352,4173.742509,4820.956612,3590.904638
10/10/2018,3204.139959,4440.732667,5152.038411,3870.174589
10/26/2018,3424.472525,5004.672348,5382.229315,3617.019273
11/2/2018,3715.812958,4906.431648,4172.573576,4198.608952
11/11/2018,3897.662722,4846.147797,4272.434637,4283.388571
11/27/2018,4295.547348,4416.232801,3907.565016,4322.296906
12/4/2018,4128.535347,4301.523544,3943.382972,4177.600559
12/13/2018,4456.41689,4561.372217,4367.812263,4474.377567
12/20/2018,4846.70273,5077.831307,4837.173296,4904.580533
1/21/2019,5574.11443,5706.020751,5696.454624,5608.075132
3/3/2019,6663.26436,7009.564864,5710.344087,6862.607297
3/19/2019,7247.356028,7599.003949,6848.313749,7468.929394
3/26/2019,7504.39377,7735.944263,6134.794915,7663.94603
4/27/2019,9284.022167,9559.459179,7950.8775,9491.68096
5/13/2019,10839.23309,11202.59372,9518.547774,11015.73114
5/22/2019,11464.8423,11956.611,10822.638,11709.20794
6/7/2019,11958.13227,12483.03993,11577.8448,12161.87612
6/23/2019,12241.09454,12874.37129,11768.16793,12512.72353
6/30/2019,12402.78549,13008.6353,5721.513839,12655.69129
7/9/2019,12533.21071,13110.08697,12076.31418,12759.5266
7/25/2019,12447.53926,12978.12506,12057.21235,12655.66748
8/1/2019,11751.87431,10322.67252,11728.33854,11518.56532
8/10/2019,11958.42309,12625.8888,11403.76112,12288.02559
8/26/2019,11778.34033,12157.15086,11520.48547,11925.23735
9/2/2019,11647.96751,11995.32613,11425.19354,11791.04886
9/11/2019,11554.25725,11832.82049,11199.12376,11667.49102
9/18/2019,11419.43619,11649.02862,10803.97122,11514.54288
9/27/2019,11460.17258,11765.06546,10842.2119,11585.57578
10/13/2019,11577.36761,11951.23566,11074.29191,11737.10957
10/20/2019,11681.08176,12040.91875,11256.16549,11844.24341
10/29/2019,11766.97039,12124.71656,11167.3005,11940.96055
11/5/2019,11763.36181,12140.87665,11252.83135,11948.10995
11/14/2019,11942.73554,12262.64262,11414.91521,12132.00829
11/30/2019,12449.63956,12530.80407,11873.55018,12494.68901
1/1/2020,13404.82261,13426.65234,12624.51315,13443.91521
1/17/2020,12895.0068,12814.81203,11043.1668,13078.81261
1/24/2020,12242.58149,13618.02676,11276.33854,13633.47595
2/18/2020,13976.00385,13973.34649,13036.9527,13989.07748
3/5/2020,14104.88584,14106.43033,13108.69478,14128.93601
3/21/2020,13596.9359,13651.52265,12749.16141,13651.85577
3/28/2020,13658.1926,13802.08034,12925.8343,13738.84961
4/22/2020,12855.10472,13193.73382,12218.11642,13018.85152
4/29/2020,12720.7384,12982.99665,10336.27561,12827.56885
5/8/2020,12399.76453,12674.69314,10881.73963,12534.1759
5/15/2020,12336.61713,12574.89428,9417.452343,12435.62213
5/24/2020,11953.97808,12164.38183,11181.90531,12039.70127
6/9/2020,11375.51936,11566.91089,10554.25842,11460.37229
6/25/2020,10271.37794,10595.69789,9889.389325,10373.93157
7/27/2020,7539.596846,8179.758052,7314.142079,7705.953092
8/3/2020,7181.382772,7898.281059,7344.031492,7446.256314
8/12/2020,6603.177224,7077.480823,6797.738744,6779.02599
8/19/2020,6172.724557,6740.093649,6351.721785,6392.211693
8/28/2020,5620.021496,5976.695863,5783.246562,5752.537179
9/4/2020,5317.217769,5719.857986,5521.398785,5451.723944
9/13/2020,4744.666886,5627.641583,3867.353027,5125.31113
9/20/2020,4700.1968,5503.509869,4832.964803,4991.40317
9/29/2020,4656.802938,5216.42753,4517.464994,4816.481329
