Date,NDWI,MNDWI,DSWE,AWEInsh,AWEIsh
11/18/2016,13919.65542,14164.25421,14045.53104,13682.82021,13960.32108
12/20/2016,14036.72459,13860.00808,13437.59719,13150.38399,13894.49865
2/22/2017,14263.35402,14166.8097,14362.52369,13862.23622,14208.58472
4/11/2017,13936.63056,14173.13499,14384.63619,13769.00691,14043.99325
4/27/2017,13903.40729,14097.57464,14338.93533,13478.72553,13983.11607
5/13/2017,13818.09161,13959.65946,14324.35515,13591.15835,13868.74651
9/18/2017,12830.5895,13278.07151,13498.07028,12845.22032,13018.48578
11/5/2017,12818.89399,13188.61095,8352.498422,12410.2482,13030.02604
12/23/2017,13386.06704,13374.80002,13713.56904,13070.031,13377.59474
1/8/2018,13210.22857,13046.82316,9075.830127,8543.82264,13147.67997
1/24/2018,13361.93924,13227.42278,13259.44324,12910.11943,13276.35738
2/9/2018,13299.61672,13177.53072,13304.69465,12879.55996,13216.94303
2/25/2018,13370.33389,13309.91232,13489.7316,12979.76567,13314.87334
3/13/2018,13361.13541,13261.66897,13387.52458,12940.41792,13294.75695
4/14/2018,13134.01799,13213.8472,13253.61995,12802.55077,13169.32114
6/1/2018,12709.36679,12789.89511,12878.76916,12392.78434,12731.57178
7/3/2018,12110.16094,12418.28593,12638.57365,12051.44921,12228.35688
7/19/2018,11634.19584,12177.12245,12414.40803,11607.88608,11844.94562
8/4/2018,11395.41603,12089.19449,11471.65551,11372.45175,11733.17529
8/20/2018,11152.7775,12055.43007,12097.91809,11616.26413,11552.09125
12/10/2018,14048.39573,14058.37712,14526.26601,13768.87346,14051.81539
1/27/2019,14317.74109,14417.53309,14486.05158,13980.82415,14437.34136
2/12/2019,14321.79963,14467.16505,14509.4881,13996.34258,14467.16505
4/1/2019,14241.5148,14435.11568,14490.32309,14001.13076,14382.36782
5/19/2019,14134.44886,14710.87353,14499.76334,14200.80808,14436.45106
6/20/2019,13595.12081,14303.57978,14377.59179,12587.77274,13929.4482
10/26/2019,12356.77069,13492.77594,13788.65022,13076.32824,12884.72869
12/13/2019,13504.66531,13587.36605,13859.6772,13257.55195,13541.74026
6/6/2020,13674.22655,14074.56054,14180.25352,13614.12875,13858.00492
7/8/2020,13138.17855,13780.32976,13910.6489,13209.09906,13448.70808
8/9/2020,12239.8455,13414.43308,13556.9994,12895.25464,12709.57005
9/26/2020,13316.89294,14122.85713,14242.60224,13718.61645,13803.25396
10/12/2020,12724.88605,13852.21823,14092.51496,13196.74718,13379.26786
2/1/2021,13745.46655,13715.54335,13873.91961,13436.17641,13725.82585
5/8/2021,13598.73523,13882.8205,13728.92511,13491.76702,13738.74599
6/25/2021,13836.15431,14215.09763,13970.34078,13393.92392,14010.99168
8/12/2021,13750.74088,14078.7212,14269.73771,13768.20565,13881.64743
9/13/2021,13679.42061,14156.35619,14271.51386,13856.50281,13909.48811
9/29/2021,13624.00105,13984.16948,13665.99233,13601.68341,13797.21326
10/15/2021,13789.46543,14091.18833,14331.3847,13786.89414,13914.01186
